process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,2207.634521484375,2207.634521484375,83018.97
total_pred_prefit,VH_1V_MET_300_400,487.980712890625,487.980712890625,2297.9225
total_pred_prefit,VH_1V_MET_400_2000,43.43864440917969,43.43864440917969,22.40541259765625
total_pred_prefit,VH_2j0b_MET_200_300,3673.2119140625,3673.2119140625,456157.36
total_pred_prefit,VH_2j0b_MET_300_400,626.3098754882812,626.3098754882812,5551.264374999999
total_pred_prefit,VH_2j0b_MET_400_2000,83.67000579833984,83.67000579833984,99.045947265625
total_pred_prefit,VH_2j1b_MET_200_300,719.3790893554688,719.3790893554688,4551.695
total_pred_prefit,VH_2j1b_MET_300_400,93.61077117919922,93.61077117919922,119.19951171875
total_pred_prefit,VH_2j1b_MET_400_2000,11.22948169708252,11.22948169708252,2.3132037353515624
total_pred_prefit,VH_2j2b_MET_200_2000,116.1482162475586,116.1482162475586,106.12259765624998
data,VH_2j2b_MET_200_2000,89.0,89.0,89.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,102.3534698486328,102.3534698486328,58.98100585937501
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ttH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
data,VH_1V_MET_200_300,1748.0,1748.0,1748.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,1754.11767578125,1754.11767578125,1308.0036718749998
ttH,VH_1V_MET_200_300,0.0,0.0,0.0
data,VH_1V_MET_300_400,333.0,333.0,333.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,332.90289306640625,332.90289306640625,187.6976953125
ttH,VH_1V_MET_300_400,0.0,0.0,0.0
data,VH_1V_MET_400_2000,20.0,20.0,20.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,19.95108795166016,19.95108795166016,8.31422607421875
ttH,VH_1V_MET_400_2000,0.0,0.0,0.0
data,VH_2j0b_MET_200_300,3907.0,3907.0,3907.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,3806.384033203125,3806.384033203125,3482.6293750000004
ttH,VH_2j0b_MET_200_300,0.0,0.0,0.0
data,VH_2j0b_MET_300_400,647.0,647.0,647.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,648.6265258789062,648.6265258789062,386.68003906249993
ttH,VH_2j0b_MET_300_400,0.0,0.0,0.0
data,VH_2j0b_MET_400_2000,88.0,88.0,88.0
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ttH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j0b_MET_400_2000,95.52938079833984,95.52938079833984,63.28943359374999
data,VH_2j1b_MET_200_300,767.0,767.0,767.0
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j1b_MET_200_300,764.70263671875,764.70263671875,489.825234375
ttH,VH_2j1b_MET_200_300,0.0,0.0,0.0
data,VH_2j1b_MET_300_400,137.0,137.0,137.0
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j1b_MET_300_400,124.6597671508789,124.6597671508789,67.52205078125002
ttH,VH_2j1b_MET_300_400,0.0,0.0,0.0
data,VH_2j1b_MET_400_2000,12.0,12.0,12.0
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j1b_MET_400_2000,12.156230926513672,12.156230926513672,5.5304064941406255
ttH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
total_pred_postfit,VH_1V_MET_200_300,1754.11767578125,1754.11767578125,1308.0036718749998
total_pred_postfit,VH_1V_MET_300_400,332.90289306640625,332.90289306640625,187.6976953125
total_pred_postfit,VH_1V_MET_400_2000,19.95108795166016,19.95108795166016,8.31422607421875
total_pred_postfit,VH_2j0b_MET_200_300,3806.384033203125,3806.384033203125,3482.6293750000004
total_pred_postfit,VH_2j0b_MET_300_400,648.6265258789062,648.6265258789062,386.68003906249993
total_pred_postfit,VH_2j0b_MET_400_2000,95.52938079833984,95.52938079833984,63.28943359374999
total_pred_postfit,VH_2j1b_MET_200_300,764.70263671875,764.70263671875,489.825234375
total_pred_postfit,VH_2j1b_MET_300_400,124.6597671508789,124.6597671508789,67.52205078125002
total_pred_postfit,VH_2j1b_MET_400_2000,12.156230926513672,12.156230926513672,5.5304064941406255
total_pred_postfit,VH_2j2b_MET_200_2000,102.3534698486328,102.3534698486328,58.98100585937501
