process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,30574.0,30574.0,30574.0
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
Ewk,ggF_2jM_MET_200_300,29607.08203125,29607.08203125,107327.4
QCD_from_photon_purity,ggF_2jM_MET_200_300,1112.4425048828123,1112.4425048828123,77723.89000000001
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
data,ggF_2jM_MET_300_400,11118.0,11118.0,11118.0
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
Ewk,ggF_2jM_MET_300_400,10939.1865234375,10939.1865234375,15533.934999999998
QCD_from_photon_purity,ggF_2jM_MET_300_400,335.7034606933594,335.7034606933594,7068.705000000001
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
data,ggF_2jM_MET_400_600,3680.0,3680.0,3680.0
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
ggF,ggF_2jM_MET_400_600,0.0,0.0,0.0
Ewk,ggF_2jM_MET_400_600,3603.182373046875,3603.182373046875,4068.993437499999
QCD_from_photon_purity,ggF_2jM_MET_400_600,75.04523468017578,75.04523468017578,353.8392578125
data,ggF_2jM_MET_600_2000,536.0,536.0,536.0
VBF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
VH,ggF_2jM_MET_600_2000,0.0,0.0,0.0
ggF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_2jM_MET_600_2000,527.8096313476561,527.8096313476561,512.5662500000002
QCD_from_photon_purity,ggF_2jM_MET_600_2000,6.474600791931152,6.474600791931152,2.633048706054688
data,ggF_3j_MET_200_300,34066.0,34066.0,34066.0
VBF,ggF_3j_MET_200_300,0.0,0.0,0.0
VH,ggF_3j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_3j_MET_200_300,32671.78515625,32671.78515625,120044.7
QCD_from_photon_purity,ggF_3j_MET_200_300,1229.815185546875,1229.815185546875,95088.4
ggF,ggF_3j_MET_200_300,0.0,0.0,0.0
data,ggF_3j_MET_300_400,14747.0,14747.0,14747.0
VBF,ggF_3j_MET_300_400,0.0,0.0,0.0
ggF,ggF_3j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_3j_MET_300_400,14368.1708984375,14368.1708984375,28192.5425
QCD_from_photon_purity,ggF_3j_MET_300_400,439.1001586914063,439.1001586914063,12114.0425
VH,ggF_3j_MET_300_400,0.0,0.0,0.0
data,ggF_3j_MET_400_600,4714.0,4714.0,4714.0
VBF,ggF_3j_MET_400_600,0.0,0.0,0.0
VH,ggF_3j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_3j_MET_400_600,4630.93798828125,4630.93798828125,5376.169375000001
QCD_from_photon_purity,ggF_3j_MET_400_600,96.50144958496094,96.50144958496094,584.557109375
ggF,ggF_3j_MET_400_600,0.0,0.0,0.0
data,ggF_3j_MET_600_2000,849.0,849.0,849.0
VBF,ggF_3j_MET_600_2000,0.0,0.0,0.0
VH,ggF_3j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_3j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_3j_MET_600_2000,833.70166015625,833.70166015625,835.2861718749998
QCD_from_photon_purity,ggF_3j_MET_600_2000,9.957745552062988,9.957745552062988,6.236281127929687
data,ggF_4j_MET_200_300,13885.0,13885.0,13885.0
VBF,ggF_4j_MET_200_300,0.0,0.0,0.0
VH,ggF_4j_MET_200_300,0.0,0.0,0.0
ggF,ggF_4j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_4j_MET_200_300,13381.5849609375,13381.5849609375,28641.92
QCD_from_photon_purity,ggF_4j_MET_200_300,494.9469299316406,494.9469299316406,15391.658750000002
data,ggF_4j_MET_300_400,7438.0,7438.0,7438.0
VBF,ggF_4j_MET_300_400,0.0,0.0,0.0
ggF,ggF_4j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_4j_MET_300_400,7202.69140625,7202.69140625,10396.96375
QCD_from_photon_purity,ggF_4j_MET_300_400,219.52072143554688,219.52072143554688,3026.3150000000005
VH,ggF_4j_MET_300_400,0.0,0.0,0.0
data,ggF_4j_MET_400_600,3145.0,3145.0,3145.0
VBF,ggF_4j_MET_400_600,0.0,0.0,0.0
VH,ggF_4j_MET_400_600,0.0,0.0,0.0
ggF,ggF_4j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_4j_MET_400_600,3069.424560546875,3069.424560546875,3611.145625
QCD_from_photon_purity,ggF_4j_MET_400_600,62.46182632446289,62.46182632446289,244.832578125
data,ggF_4j_MET_600_2000,619.0,619.0,619.0
VBF,ggF_4j_MET_600_2000,0.0,0.0,0.0
VH,ggF_4j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_4j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_4j_MET_600_2000,603.4990234375,603.4990234375,536.0035937499998
QCD_from_photon_purity,ggF_4j_MET_600_2000,7.073320865631104,7.073320865631104,3.142991027832031
data,ggF_5j_MET_200_300,6395.0,6395.0,6395.0
VBF,ggF_5j_MET_200_300,0.0,0.0,0.0
ggF,ggF_5j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_5j_MET_200_300,6156.53076171875,6156.53076171875,8652.819375
QCD_from_photon_purity,ggF_5j_MET_200_300,224.43521118164062,224.43521118164062,3170.3715625
VH,ggF_5j_MET_200_300,0.0,0.0,0.0
data,ggF_5j_MET_300_400,4100.0,4100.0,4100.0
VBF,ggF_5j_MET_300_400,0.0,0.0,0.0
VH,ggF_5j_MET_300_400,0.0,0.0,0.0
ggF,ggF_5j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_5j_MET_300_400,3979.771728515625,3979.771728515625,4534.167499999999
QCD_from_photon_purity,ggF_5j_MET_300_400,118.28641510009766,118.28641510009766,878.731171875
data,ggF_5j_MET_400_600,2080.0,2080.0,2080.0
VBF,ggF_5j_MET_400_600,0.0,0.0,0.0
VH,ggF_5j_MET_400_600,0.0,0.0,0.0
ggF,ggF_5j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_5j_MET_400_600,2030.277587890625,2030.277587890625,1996.2903125
QCD_from_photon_purity,ggF_5j_MET_400_600,40.44987106323242,40.44987106323242,102.75189453125
data,ggF_5j_MET_600_2000,529.0,529.0,529.0
VBF,ggF_5j_MET_600_2000,0.0,0.0,0.0
VH,ggF_5j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_5j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_5j_MET_600_2000,522.9382934570311,522.9382934570311,559.3014062500001
QCD_from_photon_purity,ggF_5j_MET_600_2000,5.870030403137207,5.870030403137207,2.1619967651367187
