process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,13446.0,13446.0,13446.0
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
Ewk,ggF_2jM_MET_200_300,13509.7822265625,13509.7822265625,11658.6725
data,ggF_2jM_MET_300_400,2691.0,2691.0,2691.0
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
Ewk,ggF_2jM_MET_300_400,2762.863525390625,2762.863525390625,1495.6389062500002
data,ggF_2jM_MET_400_600,776.0,776.0,776.0
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
ggF,ggF_2jM_MET_400_600,0.0,0.0,0.0
Ewk,ggF_2jM_MET_400_600,775.2722778320312,775.2722778320312,324.9515625
data,ggF_2jM_MET_600_2000,74.0,74.0,74.0
VBF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
VH,ggF_2jM_MET_600_2000,0.0,0.0,0.0
ggF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_2jM_MET_600_2000,98.25407409667969,98.25407409667969,45.96249999999999
data,ggF_3j_MET_200_300,14989.0,14989.0,14989.0
VBF,ggF_3j_MET_200_300,0.0,0.0,0.0
VH,ggF_3j_MET_200_300,0.0,0.0,0.0
ggF,ggF_3j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_3j_MET_200_300,14673.1962890625,14673.1962890625,13965.505
data,ggF_3j_MET_300_400,3570.0,3570.0,3570.0
VBF,ggF_3j_MET_300_400,0.0,0.0,0.0
VH,ggF_3j_MET_300_400,0.0,0.0,0.0
ggF,ggF_3j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_3j_MET_300_400,3580.83642578125,3580.83642578125,2224.72203125
data,ggF_3j_MET_400_600,1052.0,1052.0,1052.0
VBF,ggF_3j_MET_400_600,0.0,0.0,0.0
VH,ggF_3j_MET_400_600,0.0,0.0,0.0
ggF,ggF_3j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_3j_MET_400_600,1060.0440673828123,1060.0440673828123,508.12093750000014
data,ggF_3j_MET_600_2000,141.0,141.0,141.0
VBF,ggF_3j_MET_600_2000,0.0,0.0,0.0
VH,ggF_3j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_3j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_3j_MET_600_2000,141.71243286132812,141.71243286132812,58.78821777343751
data,ggF_4j_MET_200_300,6019.0,6019.0,6019.0
VBF,ggF_4j_MET_200_300,0.0,0.0,0.0
VH,ggF_4j_MET_200_300,0.0,0.0,0.0
ggF,ggF_4j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_4j_MET_200_300,5974.80859375,5974.80859375,3308.2796875
data,ggF_4j_MET_300_400,1767.0,1767.0,1767.0
VBF,ggF_4j_MET_300_400,0.0,0.0,0.0
VH,ggF_4j_MET_300_400,0.0,0.0,0.0
ggF,ggF_4j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_4j_MET_300_400,1802.7803955078125,1802.7803955078125,1042.14859375
data,ggF_4j_MET_400_600,604.0,604.0,604.0
VBF,ggF_4j_MET_400_600,0.0,0.0,0.0
VH,ggF_4j_MET_400_600,0.0,0.0,0.0
ggF,ggF_4j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_4j_MET_400_600,623.3474731445312,623.3474731445312,310.923359375
data,ggF_4j_MET_600_2000,92.0,92.0,92.0
VBF,ggF_4j_MET_600_2000,0.0,0.0,0.0
VH,ggF_4j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_4j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_4j_MET_600_2000,95.03702545166016,95.03702545166016,35.82522216796875
data,ggF_5j_MET_200_300,2865.0,2865.0,2865.0
VBF,ggF_5j_MET_200_300,0.0,0.0,0.0
VH,ggF_5j_MET_200_300,0.0,0.0,0.0
ggF,ggF_5j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_5j_MET_200_300,2869.0087890625,2869.0087890625,1400.6145312499998
data,ggF_5j_MET_300_400,1019.0,1019.0,1019.0
VBF,ggF_5j_MET_300_400,0.0,0.0,0.0
VH,ggF_5j_MET_300_400,0.0,0.0,0.0
ggF,ggF_5j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_5j_MET_300_400,1074.3931884765623,1074.3931884765623,592.2028515625
data,ggF_5j_MET_400_600,454.0,454.0,454.0
VBF,ggF_5j_MET_400_600,0.0,0.0,0.0
VH,ggF_5j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_5j_MET_400_600,444.9447326660156,444.9447326660156,189.437421875
ggF,ggF_5j_MET_400_600,0.0,0.0,0.0
data,ggF_5j_MET_600_2000,94.0,94.0,94.0
VBF,ggF_5j_MET_600_2000,0.0,0.0,0.0
VH,ggF_5j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_5j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_5j_MET_600_2000,104.04528045654295,104.04528045654295,45.549150390625
