process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,2107.5428619384766,2107.5428619384766,49532.978710937496
total_pred_prefit,VH_1V_MET_300_400,591.9027309417725,591.9027309417725,4240.541577148438
total_pred_prefit,VH_1V_MET_400_2000,27.149675011634827,27.149675011634827,11.550226347446442
total_pred_prefit,VH_2j0b_MET_200_300,5434.504730224609,5434.504730224609,48948.2925
total_pred_prefit,VH_2j0b_MET_300_400,1935.3945541381836,1935.3945541381836,5957.873203125
total_pred_prefit,VH_2j0b_MET_400_2000,228.21551227569577,228.21551227569577,96.95792861938476
total_pred_prefit,VH_2j1b_MET_200_300,435.72753143310547,435.72753143310547,795.2078686523438
total_pred_prefit,VH_2j1b_MET_300_400,141.08413887023926,141.08413887023926,93.409931640625
total_pred_prefit,VH_2j1b_MET_400_2000,17.39292159676552,17.39292159676552,2.8388062036037445
total_pred_prefit,VH_2j2b_MET_200_2000,55.6933867931366,55.6933867931366,18.945158348083496
data,VH_2j2b_MET_200_2000,81.0,81.0,81.0
QCD_from_photon_purity,VH_2j2b_MET_200_2000,3.0993840694427486,3.0993840694427486,0.4390047836303712
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,71.15937042236328,71.15937042236328,53.87097656250001
data,VH_1V_MET_200_300,1950.0,1950.0,1950.0
QCD_from_photon_purity,VH_1V_MET_200_300,76.52204895019531,76.52204895019531,269.0562499999999
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,1857.21044921875,1857.21044921875,2707.5959375
data,VH_1V_MET_300_400,566.0,566.0,566.0
QCD_from_photon_purity,VH_1V_MET_300_400,20.78656005859375,20.78656005859375,19.7745703125
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,545.436279296875,545.436279296875,442.242265625
data,VH_1V_MET_400_2000,21.0,21.0,21.0
QCD_from_photon_purity,VH_1V_MET_400_2000,0.7014845609664917,0.7014845609664917,0.024668877124786368
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,18.631895065307614,18.631895065307614,15.960769042968748
data,VH_2j0b_MET_200_300,5013.0,5013.0,5013.0
QCD_from_photon_purity,VH_2j0b_MET_200_300,196.4052734375,196.4052734375,1767.8376562499998
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,4819.8115234375,4819.8115234375,6264.3650000000025
data,VH_2j0b_MET_300_400,1729.0,1729.0,1729.0
QCD_from_photon_purity,VH_2j0b_MET_300_400,63.28003692626953,63.28003692626953,183.284296875
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
