process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t0b_MET_200_300,87.87887907028198,87.87887907028198,53.820927124023434
total_pred_prefit,ttH_1t0b_MET_300_400,74.24996662239892,74.24996662239892,11.789642181396484
total_pred_prefit,ttH_1t0b_MET_400_2000,61.13822174172266,61.13822174172266,24.836661376953124
total_pred_prefit,ttH_1t1b_MET_200_300,116.48647418618202,116.48647418618202,65.20645179748536
total_pred_prefit,ttH_1t1b_MET_300_400,98.70788335900171,98.70788335900171,39.36104059219361
total_pred_prefit,ttH_1t1b_MET_400_600,55.58341598610742,55.58341598610742,16.278512268066407
total_pred_prefit,ttH_1t1b_MET_600_2000,7.321865798042847,7.321865798042847,0.7886309432983398
total_pred_prefit,ttH_1w1b_MET_200_300,802.0814981460571,802.0814981460571,4148.580567626953
total_pred_prefit,ttH_1w1b_MET_300_400,198.3103618631826,198.3103618631826,243.01617431640625
total_pred_prefit,ttH_1w1b_MET_400_2000,42.56201362709864,42.56201362709864,13.70185607910156
total_pred_prefit,ttH_1w2b_MET_200_300,517.2765324860811,517.2765324860811,2348.268623564243
total_pred_prefit,ttH_1w2b_MET_300_400,114.41849899391993,114.41849899391993,124.14368629455566
total_pred_prefit,ttH_1w2b_MET_400_2000,18.5311119566427,18.5311119566427,3.587725143432617
total_pred_prefit,ttH_2Boosted_MET_200_300,14.873749018715452,14.873749018715452,2.266285009384155
total_pred_prefit,ttH_2Boosted_MET_300_400,7.001686945557594,7.001686945557594,0.40419316530227656
total_pred_prefit,ttH_2Boosted_MET_400_2000,4.146516576409339,4.146516576409339,0.1883473843336106
total_pred_prefit,ttH_5j1b_MET_200_300,3341.7040061950684,3341.7040061950684,137108.86543945313
total_pred_prefit,ttH_5j1b_MET_300_400,786.1826477060781,786.1826477060781,5079.070351562501
total_pred_prefit,ttH_5j1b_MET_400_600,228.02127838234765,228.02127838234765,463.198076171875
total_pred_prefit,ttH_5j1b_MET_600_2000,27.810180188225342,27.810180188225342,142.75260314941406
total_pred_prefit,ttH_5j2b_MET_200_300,1142.7397736310959,1142.7397736310959,11592.949289550781
total_pred_prefit,ttH_5j2b_MET_300_400,204.2265472422109,204.2265472422109,353.67717773437505
total_pred_prefit,ttH_5j2b_MET_400_2000,56.86027908425196,56.86027908425196,38.99875
total_pred_prefit,ttH_6j1b_MET_200_300,1950.9564447402954,1950.9564447402954,23041.965654296884
total_pred_prefit,ttH_6j1b_MET_300_400,495.7789154062734,495.7789154062734,1261.3926562499998
total_pred_prefit,ttH_6j1b_MET_400_2000,176.40213775734765,176.40213775734765,383.21271484375
total_pred_prefit,ttH_6j2b_MET_200_300,824.4281485080719,824.4281485080719,4869.837525329589
total_pred_prefit,ttH_6j2b_MET_300_400,171.22772216896877,171.22772216896877,239.172041015625
total_pred_prefit,ttH_6j2b_MET_400_2000,54.41315078835352,54.41315078835352,31.430336914062504
data,ttH_1t0b_MET_200_300,81.0,81.0,81.0
Qcd,ttH_1t0b_MET_200_300,2.790318012237549,2.790318012237549,4.0996600341796885
VBF,ttH_1t0b_MET_200_300,0.0,0.0,0.0
Ttw,ttH_1t0b_MET_200_300,69.92006683349611,69.92006683349611,11.748613281249998
VH,ttH_1t0b_MET_200_300,0.0,0.0,0.0
Zinv,ttH_1t0b_MET_200_300,16.309309005737305,16.309309005737305,0.8036142730712892
ggF,ttH_1t0b_MET_200_300,0.0,0.0,0.0
ttH,ttH_1t0b_MET_200_300,0.0,0.0,0.0
data,ttH_1t0b_MET_300_400,73.0,73.0,73.0
Qcd,ttH_1t0b_MET_300_400,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
VBF,ttH_1t0b_MET_300_400,0.0,0.0,0.0
Ttw,ttH_1t0b_MET_300_400,57.78866958618164,57.78866958618164,10.691322021484373
VH,ttH_1t0b_MET_300_400,0.0,0.0,0.0
Zinv,ttH_1t0b_MET_300_400,16.595304489135742,16.595304489135742,0.8443521118164061
ggF,ttH_1t0b_MET_300_400,0.0,0.0,0.0
ttH,ttH_1t0b_MET_300_400,0.0,0.0,0.0
data,ttH_1t0b_MET_400_2000,109.0,109.0,109.0
Qcd,ttH_1t0b_MET_400_2000,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
Ttw,ttH_1t0b_MET_400_2000,50.97967147827149,50.97967147827149,9.692774658203128
VBF,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
VH,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
Zinv,ttH_1t0b_MET_400_2000,31.471534729003906,31.471534729003906,3.2200613403320317
ggF,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
ttH,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
data,ttH_1t1b_MET_200_300,113.0,113.0,113.0
Qcd,ttH_1t1b_MET_200_300,0.29469919204711914,0.29469919204711914,0.05071958541870116
VBF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Ttw,ttH_1t1b_MET_200_300,108.5123519897461,108.5123519897461,22.93238525390625
VH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Zinv,ttH_1t1b_MET_200_300,7.883347034454348,7.883347034454348,0.4416210174560548
ggF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
ttH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
data,ttH_1t1b_MET_300_400,99.0,99.0,99.0
Qcd,ttH_1t1b_MET_300_400,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
VBF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
Ttw,ttH_1t1b_MET_300_400,92.08747100830078,92.08747100830078,19.11505249023437
VH,ttH_1t1b_MET_300_400,0.0,0.0,0.0
Zinv,ttH_1t1b_MET_300_400,6.954375267028809,6.954375267028809,0.27657844543457033
ggF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
