process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t1b_MET_200_300,14.903072357177734,14.903072357177734,8.52397705078125
total_pred_prefit,ttH_1t1b_MET_300_400,23.01878929138184,23.01878929138184,6.738756713867186
total_pred_prefit,ttH_1t1b_MET_400_2000,34.43100357055664,34.43100357055664,142.38171874999995
total_pred_prefit,ttH_1t2b_MET_200_300,4.4097867012023935,4.4097867012023935,0.4267463684082031
total_pred_prefit,ttH_1t2b_MET_300_400,5.503909111022949,5.503909111022949,0.3987163162231445
total_pred_prefit,ttH_1t2b_MET_400_600,6.6925106048583975,6.6925106048583975,2.3713790893554694
total_pred_prefit,ttH_1t2b_MET_600_2000,2.3323631286621094,2.3323631286621094,1.2376302337646483
total_pred_prefit,ttH_1w1b_MET_200_300,15.550792694091795,15.550792694091795,13.4114990234375
total_pred_prefit,ttH_1w1b_MET_300_400,6.290029048919678,6.290029048919678,0.6637320709228515
total_pred_prefit,ttH_1w1b_MET_400_2000,8.89074993133545,8.89074993133545,12.534801025390625
total_pred_prefit,ttH_1w2b_MET_200_300,4.622347354888916,4.622347354888916,1.0510291290283202
total_pred_prefit,ttH_1w2b_MET_300_400,2.691465139389038,2.691465139389038,0.17101764678955078
total_pred_prefit,ttH_1w2b_MET_400_2000,2.8901488780975337,2.8901488780975337,0.551997299194336
total_pred_prefit,ttH_2Boosted_MET_200_300,1.859865069389344,1.859865069389344,0.08757916450500489
total_pred_prefit,ttH_2Boosted_MET_300_400,2.74550199508667,2.74550199508667,0.09898502349853518
total_pred_prefit,ttH_2Boosted_MET_400_2000,4.2500882148742685,4.2500882148742685,0.9162696838378904
total_pred_prefit,ttH_5j1b_MET_200_300,117.7043685913086,117.7043685913086,1163.3585937499995
total_pred_prefit,ttH_5j1b_MET_300_400,48.13327407836914,48.13327407836914,47.0417333984375
total_pred_prefit,ttH_5j1b_MET_400_2000,19.52418327331543,19.52418327331543,15.7954736328125
total_pred_prefit,ttH_5j2b_MET_200_300,29.354284286499023,29.354284286499023,52.026728515625
total_pred_prefit,ttH_5j2b_MET_300_400,11.930171012878418,11.930171012878418,2.688641967773437
total_pred_prefit,ttH_5j2b_MET_400_2000,3.627650022506714,3.627650022506714,0.3721895217895508
total_pred_prefit,ttH_6j1b_MET_200_300,42.16202926635742,42.16202926635742,129.53756835937497
total_pred_prefit,ttH_6j1b_MET_300_400,20.22272109985352,20.22272109985352,5.2484716796875
total_pred_prefit,ttH_6j1b_MET_400_2000,10.628046989440918,10.628046989440918,5.435943603515626
total_pred_prefit,ttH_6j2b_MET_200_300,12.106951713562012,12.106951713562012,9.927257690429688
total_pred_prefit,ttH_6j2b_MET_300_400,6.048040390014648,6.048040390014648,0.4850141906738282
total_pred_prefit,ttH_6j2b_MET_400_2000,2.3522756099700928,2.3522756099700928,0.25280487060546875
data,ttH_1w1b_MET_400_2000,6.0,6.0,6.0
Ewk,ttH_1w1b_MET_400_2000,4.94521951675415,4.94521951675415,0.813814468383789
data,ttH_1w2b_MET_200_300,10.0,10.0,10.0
Ewk,ttH_1w2b_MET_200_300,6.476916313171388,6.476916313171388,2.9720733642578123
data,ttH_1w2b_MET_300_400,1.0,1.0,1.0
Ewk,ttH_1w2b_MET_300_400,1.6798347234725952,1.6798347234725952,0.461645278930664
data,ttH_1w2b_MET_400_2000,4.0,4.0,4.0
Ewk,ttH_1w2b_MET_400_2000,3.9120712280273438,3.9120712280273438,1.1953052520751952
data,ttH_2Boosted_MET_200_300,2.0,2.0,2.0
Ewk,ttH_2Boosted_MET_200_300,1.290194749832153,1.290194749832153,0.5040508270263672
data,ttH_2Boosted_MET_300_400,3.0,3.0,3.0
Ewk,ttH_2Boosted_MET_300_400,2.158051013946533,2.158051013946533,1.4431124877929689
data,ttH_2Boosted_MET_400_2000,5.0,5.0,5.0
Ewk,ttH_2Boosted_MET_400_2000,4.5715107917785645,4.5715107917785645,2.22650146484375
data,ttH_5j1b_MET_200_300,118.0,118.0,118.0
Ewk,ttH_5j1b_MET_200_300,123.8622589111328,123.8622589111328,108.97962890625
data,ttH_5j1b_MET_300_400,53.0,53.0,53.0
Ewk,ttH_5j1b_MET_300_400,49.28973388671875,49.28973388671875,16.721442871093753
data,ttH_5j1b_MET_400_2000,16.0,16.0,16.0
Ewk,ttH_5j1b_MET_400_2000,21.040870666503906,21.040870666503906,6.782578735351563
data,ttH_1t1b_MET_200_300,15.0,15.0,15.0
Ewk,ttH_1t1b_MET_200_300,17.91737937927246,17.91737937927246,11.593992919921876
data,ttH_5j2b_MET_200_300,32.0,32.0,32.0
Ewk,ttH_5j2b_MET_200_300,26.35124015808105,26.35124015808105,13.1423583984375
data,ttH_5j2b_MET_300_400,12.0,12.0,12.0
Ewk,ttH_5j2b_MET_300_400,13.23577117919922,13.23577117919922,4.830544433593749
data,ttH_5j2b_MET_400_2000,5.0,5.0,5.0
Ewk,ttH_5j2b_MET_400_2000,3.624131202697754,3.624131202697754,0.766908950805664
data,ttH_6j1b_MET_200_300,46.0,46.0,46.0
Ewk,ttH_6j1b_MET_200_300,46.35091781616211,46.35091781616211,24.741499023437505
data,ttH_6j1b_MET_300_400,32.0,32.0,32.0
Ewk,ttH_6j1b_MET_300_400,29.242191314697266,29.242191314697266,9.699954833984377
data,ttH_6j1b_MET_400_2000,17.0,17.0,17.0
Ewk,ttH_6j1b_MET_400_2000,16.788688659667972,16.788688659667972,3.8564154052734376
data,ttH_6j2b_MET_200_300,19.0,19.0,19.0
Ewk,ttH_6j2b_MET_200_300,18.576154708862305,18.576154708862305,8.016368408203125
data,ttH_6j2b_MET_300_400,6.0,6.0,6.0
Ewk,ttH_6j2b_MET_300_400,7.472789287567139,7.472789287567139,2.790570678710938
data,ttH_6j2b_MET_400_2000,2.0,2.0,2.0
Ewk,ttH_6j2b_MET_400_2000,3.1009180545806885,3.1009180545806885,0.6422489166259766
data,ttH_1t1b_MET_300_400,21.0,21.0,21.0
Ewk,ttH_1t1b_MET_300_400,29.791278839111328,29.791278839111328,19.380361328125
data,ttH_1t1b_MET_400_2000,40.0,40.0,40.0
Ewk,ttH_1t1b_MET_400_2000,37.90436553955078,37.90436553955078,36.47814941406249
data,ttH_1t2b_MET_200_300,7.0,7.0,7.0
Ewk,ttH_1t2b_MET_200_300,7.645926475524902,7.645926475524902,4.836877746582032
data,ttH_1t2b_MET_300_400,7.0,7.0,7.0
Ewk,ttH_1t2b_MET_300_400,7.5186920166015625,7.5186920166015625,4.68926025390625
data,ttH_1t2b_MET_400_600,7.0,7.0,7.0
Ewk,ttH_1t2b_MET_400_600,5.569293022155762,5.569293022155762,3.321736450195313
data,ttH_1t2b_MET_600_2000,6.0,6.0,6.0
Ewk,ttH_1t2b_MET_600_2000,4.4100303649902335,4.4100303649902335,2.6882186889648443
data,ttH_1w1b_MET_200_300,19.0,19.0,19.0
Ewk,ttH_1w1b_MET_200_300,14.53445053100586,14.53445053100586,6.937651977539064
data,ttH_1w1b_MET_300_400,7.0,7.0,7.0
Ewk,ttH_1w1b_MET_300_400,4.790680408477783,4.790680408477783,1.5659329223632814
total_pred_postfit,ttH_1t1b_MET_200_300,17.91737937927246,17.91737937927246,11.593992919921876
total_pred_postfit,ttH_1t1b_MET_300_400,29.791278839111328,29.791278839111328,19.380361328125
total_pred_postfit,ttH_1t1b_MET_400_2000,37.90436553955078,37.90436553955078,36.47814941406249
total_pred_postfit,ttH_1t2b_MET_200_300,7.645926475524902,7.645926475524902,4.836877746582032
total_pred_postfit,ttH_1t2b_MET_300_400,7.5186920166015625,7.5186920166015625,4.68926025390625
total_pred_postfit,ttH_1t2b_MET_400_600,5.569293022155762,5.569293022155762,3.321736450195313
total_pred_postfit,ttH_1t2b_MET_600_2000,4.4100303649902335,4.4100303649902335,2.6882186889648443
total_pred_postfit,ttH_1w1b_MET_200_300,14.53445053100586,14.53445053100586,6.937651977539064
total_pred_postfit,ttH_1w1b_MET_300_400,4.790680408477783,4.790680408477783,1.5659329223632814
total_pred_postfit,ttH_1w1b_MET_400_2000,4.94521951675415,4.94521951675415,0.813814468383789
