process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,14.0,14.0,14.0
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j2b_MET_200_2000,10.96578311920166,10.96578311920166,3.3034823608398436
data,VH_1V_MET_200_300,217.0,217.0,217.0
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_200_300,218.8702545166016,218.8702545166016,4310.856875000001
data,VH_1V_MET_300_400,45.0,45.0,45.0
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_300_400,38.27502822875977,38.27502822875977,55.13178222656251
data,VH_1V_MET_400_2000,1.0,1.0,1.0
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_400_2000,3.0365304946899414,3.0365304946899414,0.3128246116638183
data,VH_2j0b_MET_200_300,566.0,566.0,566.0
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_200_300,485.9611511230469,485.9611511230469,27064.6775
data,VH_2j0b_MET_300_400,129.0,129.0,129.0
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_300_400,97.94776153564452,97.94776153564452,399.4545703125
data,VH_2j0b_MET_400_2000,15.0,15.0,15.0
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_400_2000,11.029532432556152,11.029532432556152,1.25662483215332
data,VH_2j1b_MET_200_300,51.0,51.0,51.0
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_200_300,49.8662338256836,49.8662338256836,225.76720703125
data,VH_2j1b_MET_300_400,13.0,13.0,13.0
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_300_400,11.707834243774414,11.707834243774414,4.3554867553710945
data,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_400_2000,1.429003357887268,1.429003357887268,0.08461049079895018
