process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1w1b_MET_400_2000,5.0,5.0,5.0
VBF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w1b_MET_400_2000,5.389770030975342,5.389770030975342,3.059539489746093
data,ttH_1w2b_MET_200_300,2.0,2.0,2.0
VBF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_200_300,2.34614372253418,2.34614372253418,0.18244415283203125
data,ttH_1w2b_MET_300_400,1.0,1.0,1.0
VBF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_300_400,1.047083616256714,1.047083616256714,0.029888877868652342
data,ttH_1w2b_MET_400_2000,4.0,4.0,4.0
VBF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_400_2000,1.6410768032073977,1.6410768032073977,0.13873353004455566
data,ttH_2Boosted_MET_200_300,1.0,1.0,1.0
VBF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
