process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t1b_MET_200_300,4.643548011779785,4.643548011779785,1.1628312683105466
total_pred_prefit,ttH_1t1b_MET_300_400,5.645617961883545,5.645617961883545,0.8614346313476564
total_pred_prefit,ttH_1t1b_MET_400_2000,8.079266548156737,8.079266548156737,6.192393188476562
total_pred_prefit,ttH_1t2b_MET_200_300,2.1059725284576416,2.1059725284576416,0.1521612548828125
total_pred_prefit,ttH_1t2b_MET_300_400,1.745741605758667,1.745741605758667,0.06376596450805666
total_pred_prefit,ttH_1t2b_MET_400_600,2.428574323654175,2.428574323654175,0.31013408660888675
total_pred_prefit,ttH_1t2b_MET_600_2000,0.3802414834499359,0.3802414834499359,0.0394815182685852
total_pred_prefit,ttH_1w1b_MET_200_300,11.371244430541992,11.371244430541992,10.339080810546877
total_pred_prefit,ttH_1w1b_MET_300_400,7.7101616859436035,7.7101616859436035,1.822115783691406
total_pred_prefit,ttH_1w1b_MET_400_2000,37.894981384277344,37.894981384277344,344.7087109375
total_pred_prefit,ttH_1w2b_MET_200_300,4.5505452156066895,4.5505452156066895,1.0405113220214843
total_pred_prefit,ttH_1w2b_MET_300_400,2.36373233795166,2.36373233795166,0.17990755081176754
total_pred_prefit,ttH_1w2b_MET_400_2000,6.4746809005737305,6.4746809005737305,8.721694946289064
total_pred_prefit,ttH_2Boosted_MET_200_300,1.3821313381195068,1.3821313381195068,0.1084343433380127
total_pred_prefit,ttH_2Boosted_MET_300_400,1.422818303108215,1.422818303108215,0.05356352329254152
total_pred_prefit,ttH_2Boosted_MET_400_2000,3.3355987071990967,3.3355987071990967,1.7523078918457031
total_pred_prefit,ttH_5j1b_MET_200_300,44.31068420410156,44.31068420410156,192.51794921875
total_pred_prefit,ttH_5j1b_MET_300_400,18.752012252807614,18.752012252807614,11.8226806640625
total_pred_prefit,ttH_5j1b_MET_400_2000,8.076515197753906,8.076515197753906,3.927481384277344
total_pred_prefit,ttH_5j2b_MET_200_300,12.393402099609375,12.393402099609375,9.425357666015627
total_pred_prefit,ttH_5j2b_MET_300_400,3.9319031238555913,3.9319031238555913,0.5064132690429688
total_pred_prefit,ttH_5j2b_MET_400_2000,1.3980427980422974,1.3980427980422974,0.10517124176025393
total_pred_prefit,ttH_6j1b_MET_200_300,17.445093154907227,17.445093154907227,24.63522705078125
total_pred_prefit,ttH_6j1b_MET_300_400,8.572212219238281,8.572212219238281,1.844684600830078
total_pred_prefit,ttH_6j1b_MET_400_2000,4.702505588531494,4.702505588531494,1.2177610778808594
total_pred_prefit,ttH_6j2b_MET_200_300,5.97145938873291,5.97145938873291,2.2237142944335937
total_pred_prefit,ttH_6j2b_MET_300_400,2.071735382080078,2.071735382080078,0.11506174087524415
total_pred_prefit,ttH_6j2b_MET_400_2000,0.9816240072250366,0.9816240072250366,0.05061388015747071
data,ttH_1w1b_MET_400_2000,26.0,26.0,26.0
VBF,ttH_1w1b_MET_400_2000,8.766778102076158e-12,8.766778102076158e-12,4.450999650015983e-19
VH,ttH_1w1b_MET_400_2000,8.766778102076158e-12,8.766778102076158e-12,4.467637229984628e-19
ggF,ttH_1w1b_MET_400_2000,8.766778102076158e-12,8.766778102076158e-12,4.420945862256217e-19
Ewk,ttH_1w1b_MET_400_2000,27.06624984741211,27.06624984741211,39.7297021484375
data,ttH_1w2b_MET_200_300,4.0,4.0,4.0
VBF,ttH_1w2b_MET_200_300,8.766778102076158e-12,8.766778102076158e-12,4.450999650015983e-19
VH,ttH_1w2b_MET_200_300,8.766778102076158e-12,8.766778102076158e-12,4.467637229984628e-19
ggF,ttH_1w2b_MET_200_300,8.766778102076158e-12,8.766778102076158e-12,4.420945862256217e-19
