process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1w1b_MET_400_2000,26.0,26.0,26.0
VBF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w1b_MET_400_2000,37.894981384277344,37.894981384277344,344.7087109375
data,ttH_1w2b_MET_200_300,4.0,4.0,4.0
VBF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_200_300,4.5505452156066895,4.5505452156066895,1.0405113220214843
data,ttH_1w2b_MET_300_400,3.0,3.0,3.0
VBF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_300_400,2.36373233795166,2.36373233795166,0.17990755081176754
data,ttH_1w2b_MET_400_2000,6.0,6.0,6.0
VBF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_400_2000,6.4746809005737305,6.4746809005737305,8.721694946289064
data,ttH_2Boosted_MET_200_300,2.0,2.0,2.0
VBF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_2Boosted_MET_200_300,1.3821313381195068,1.3821313381195068,0.1084343433380127
data,ttH_2Boosted_MET_300_400,3.0,3.0,3.0
VBF,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_2Boosted_MET_300_400,1.422818303108215,1.422818303108215,0.05356352329254152
data,ttH_2Boosted_MET_400_2000,3.0,3.0,3.0
VBF,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_2Boosted_MET_400_2000,3.3355987071990967,3.3355987071990967,1.7523078918457031
data,ttH_5j1b_MET_200_300,46.0,46.0,46.0
VBF,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j1b_MET_200_300,44.31068420410156,44.31068420410156,192.51794921875
data,ttH_5j1b_MET_300_400,32.0,32.0,32.0
VBF,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j1b_MET_300_400,18.752012252807614,18.752012252807614,11.8226806640625
data,ttH_5j1b_MET_400_2000,5.0,5.0,5.0
VBF,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j1b_MET_400_2000,8.076515197753906,8.076515197753906,3.927481384277344
data,ttH_1t1b_MET_200_300,5.0,5.0,5.0
VBF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1t1b_MET_200_300,4.643548011779785,4.643548011779785,1.1628312683105466
data,ttH_5j2b_MET_200_300,15.0,15.0,15.0
VBF,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j2b_MET_200_300,12.393402099609375,12.393402099609375,9.425357666015627
data,ttH_5j2b_MET_300_400,3.0,3.0,3.0
VBF,ttH_5j2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j2b_MET_300_400,3.9319031238555913,3.9319031238555913,0.5064132690429688
data,ttH_5j2b_MET_400_2000,4.0,4.0,4.0
VBF,ttH_5j2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j2b_MET_400_2000,1.3980427980422974,1.3980427980422974,0.10517124176025393
data,ttH_6j1b_MET_200_300,29.0,29.0,29.0
VBF,ttH_6j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_6j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
