process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t1b_MET_200_300,97.46622467041016,97.46622467041016,102.1219921875
total_pred_prefit,ttH_1t1b_MET_300_400,76.96498107910156,76.96498107910156,64.22159667968751
total_pred_prefit,ttH_1t1b_MET_400_2000,70.4002914428711,70.4002914428711,64.824423828125
total_pred_prefit,ttH_1t2b_MET_200_300,131.27392578125,131.27392578125,246.83044921875
total_pred_prefit,ttH_1t2b_MET_300_400,109.84618377685548,109.84618377685548,147.106826171875
total_pred_prefit,ttH_1t2b_MET_400_600,77.75479888916016,77.75479888916016,79.874638671875
total_pred_prefit,ttH_1t2b_MET_600_2000,13.832173347473145,13.832173347473145,4.4481176757812495
total_pred_prefit,ttH_1w1b_MET_200_300,623.6141357421875,623.6141357421875,6187.496874999999
total_pred_prefit,ttH_1w1b_MET_300_400,213.95440673828125,213.95440673828125,717.40609375
total_pred_prefit,ttH_1w1b_MET_400_2000,69.51410675048828,69.51410675048828,88.673193359375
total_pred_prefit,ttH_1w2b_MET_200_300,551.46533203125,551.46533203125,5226.803437500002
total_pred_prefit,ttH_1w2b_MET_300_400,178.28152465820312,178.28152465820312,584.5535937499999
total_pred_prefit,ttH_1w2b_MET_400_2000,52.64130020141602,52.64130020141602,76.5135595703125
total_pred_prefit,ttH_2Boosted_MET_200_300,104.46294403076172,104.46294403076172,270.54716796875
total_pred_prefit,ttH_2Boosted_MET_300_400,55.69222259521485,55.69222259521485,64.48217285156248
total_pred_prefit,ttH_2Boosted_MET_400_2000,38.246089935302734,38.246089935302734,31.54878173828125
total_pred_prefit,ttH_5j1b_MET_200_300,1486.4681396484375,1486.4681396484375,15383.73875
total_pred_prefit,ttH_5j1b_MET_300_400,390.9397277832031,390.9397277832031,1115.094609375
total_pred_prefit,ttH_5j1b_MET_400_2000,138.32781982421878,138.32781982421878,211.53447265625
total_pred_prefit,ttH_5j2b_MET_200_300,499.5653991699219,499.5653991699219,2460.38640625
total_pred_prefit,ttH_5j2b_MET_300_400,103.77215576171876,103.77215576171876,133.601240234375
total_pred_prefit,ttH_5j2b_MET_400_2000,39.546363830566406,39.546363830566406,22.49344970703125
total_pred_prefit,ttH_6j1b_MET_200_300,794.08740234375,794.08740234375,4232.752499999999
total_pred_prefit,ttH_6j1b_MET_300_400,260.78076171875,260.78076171875,660.200703125
total_pred_prefit,ttH_6j1b_MET_400_2000,103.63526916503906,103.63526916503906,126.945029296875
total_pred_prefit,ttH_6j2b_MET_200_300,324.9798278808594,324.9798278808594,1106.6914062499998
total_pred_prefit,ttH_6j2b_MET_300_400,77.3938980102539,77.3938980102539,85.86466796875
total_pred_prefit,ttH_6j2b_MET_400_2000,35.52690124511719,35.52690124511719,19.830090332031254
data,ttH_1t1b_MET_200_300,115.0,115.0,115.0
VBF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
VH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_200_300,100.33621215820312,100.33621215820312,36.25861083984375
ttH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
data,ttH_1t1b_MET_300_400,69.0,69.0,69.0
VBF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
VH,ttH_1t1b_MET_300_400,0.0,0.0,0.0
ggF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_300_400,73.14553833007812,73.14553833007812,32.1934228515625
ttH,ttH_1t1b_MET_300_400,0.0,0.0,0.0
data,ttH_1t1b_MET_400_2000,80.0,80.0,80.0
VBF,ttH_1t1b_MET_400_2000,0.0,0.0,0.0
VH,ttH_1t1b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_1t1b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_400_2000,73.40132904052734,73.40132904052734,37.93703369140625
ttH,ttH_1t1b_MET_400_2000,0.0,0.0,0.0
data,ttH_1t2b_MET_200_300,127.0,127.0,127.0
VBF,ttH_1t2b_MET_200_300,0.0,0.0,0.0
VH,ttH_1t2b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1t2b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1t2b_MET_200_300,114.89836883544922,114.89836883544922,50.98770507812501
ttH,ttH_1t2b_MET_200_300,0.0,0.0,0.0
data,ttH_1t2b_MET_300_400,111.0,111.0,111.0
