process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,124.0,124.0,124.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,131.62844848632812,131.62844848632812,66.2077978515625
data,VH_1V_MET_200_300,1207.0,1207.0,1207.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,1253.3370361328125,1253.3370361328125,591.038828125
data,VH_1V_MET_300_400,289.0,289.0,289.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,274.50186157226557,274.50186157226557,177.68630859375
data,VH_1V_MET_400_2000,21.0,21.0,21.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,22.66608619689941,22.66608619689941,12.1255322265625
data,VH_2j0b_MET_200_300,2945.0,2945.0,2945.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,2894.428955078125,2894.428955078125,2155.2015625
data,VH_2j0b_MET_300_400,558.0,558.0,558.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,554.6754150390625,554.6754150390625,355.85839843750006
data,VH_2j0b_MET_400_2000,68.0,68.0,68.0
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j0b_MET_400_2000,65.73419189453125,65.73419189453125,33.920625
data,VH_2j1b_MET_200_300,612.0,612.0,612.0
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j1b_MET_200_300,607.2571411132812,607.2571411132812,321.15478515625006
data,VH_2j1b_MET_300_400,103.0,103.0,103.0
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j1b_MET_300_400,99.2062759399414,99.2062759399414,46.8338818359375
data,VH_2j1b_MET_400_2000,5.0,5.0,5.0
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j1b_MET_400_2000,10.927715301513672,10.927715301513672,6.2504644775390625
